"ad_date","media_source","min_spend","max_spend","avg_spend","min_impressions","max_impressions","avg_impressions","min_clicks","max_clicks","avg_clicks","min_value","max_value","avg_value"
2020-11-27,Google Ads,1827.00,1827.00,1827.00,9779.00,9779.00,9779.00,208.00,208.00,208.00,2800.00,2800.00,2800.00
2020-11-28,Facebook Ads,854.00,854.00,854.00,3481.00,3481.00,3481.00,155.00,155.00,155.00,1141.00,1141.00,1141.00
2020-11-28,Google Ads,422.00,422.00,422.00,3829.00,3829.00,3829.00,129.00,129.00,129.00,523.00,523.00,523.00
2020-11-29,Facebook Ads,1366.00,1366.00,1366.00,5570.00,5570.00,5570.00,184.00,184.00,184.00,1762.00,1762.00,1762.00
2020-11-29,Google Ads,618.00,618.00,618.00,2784.00,2784.00,2784.00,241.00,241.00,241.00,557.00,557.00,557.00
2020-11-30,Facebook Ads,3984.00,3984.00,3984.00,17746.00,17746.00,17746.00,320.00,320.00,320.00,6794.00,6794.00,6794.00
2020-12-01,Facebook Ads,879.00,879.00,879.00,17468.00,17468.00,17468.00,463.00,463.00,463.00,1354.00,1354.00,1354.00
2020-12-02,Facebook Ads,2227.00,2227.00,2227.00,8252.00,8252.00,8252.00,386.00,386.00,386.00,3027.00,3027.00,3027.00
2020-12-03,Facebook Ads,4056.00,4056.00,4056.00,2575.00,2575.00,2575.00,410.00,410.00,410.00,3266.00,3266.00,3266.00
2020-12-03,Google Ads,3214.00,3214.00,3214.00,4307.00,4307.00,4307.00,328.00,328.00,328.00,2318.00,2318.00,2318.00
2020-12-04,Facebook Ads,2730.00,2730.00,2730.00,3037.00,3037.00,3037.00,250.00,250.00,250.00,2307.00,2307.00,2307.00
2020-12-04,Google Ads,616.00,616.00,616.00,4891.00,4891.00,4891.00,97.00,97.00,97.00,691.00,691.00,691.00
2020-12-05,Facebook Ads,2812.00,2812.00,2812.00,2351.00,2351.00,2351.00,104.00,104.00,104.00,4528.00,4528.00,4528.00
2020-12-05,Google Ads,1622.00,1622.00,1622.00,2218.00,2218.00,2218.00,250.00,250.00,250.00,2501.00,2501.00,2501.00
2020-12-06,Facebook Ads,4271.00,4271.00,4271.00,18728.00,18728.00,18728.00,220.00,220.00,220.00,7228.00,7228.00,7228.00
2020-12-06,Google Ads,2225.00,2225.00,2225.00,12710.00,12710.00,12710.00,289.00,289.00,289.00,1704.00,1704.00,1704.00
2020-12-07,Facebook Ads,3729.00,3729.00,3729.00,17289.00,17289.00,17289.00,162.00,162.00,162.00,6076.00,6076.00,6076.00
2020-12-08,Facebook Ads,3716.00,3716.00,3716.00,5474.00,5474.00,5474.00,280.00,280.00,280.00,5495.00,5495.00,5495.00
2020-12-08,Google Ads,936.00,936.00,936.00,4753.00,4753.00,4753.00,102.00,102.00,102.00,965.00,965.00,965.00
2020-12-09,Facebook Ads,2565.00,2565.00,2565.00,4642.00,4642.00,4642.00,68.00,68.00,68.00,4245.00,4245.00,4245.00
2020-12-09,Google Ads,2493.00,2493.00,2493.00,5377.00,5377.00,5377.00,209.00,209.00,209.00,3896.00,3896.00,3896.00
2020-12-10,Facebook Ads,2552.00,2552.00,2552.00,8250.00,8250.00,8250.00,121.00,121.00,121.00,2425.00,2425.00,2425.00
2020-12-10,Google Ads,678.00,678.00,678.00,7192.00,7192.00,7192.00,29.00,29.00,29.00,977.00,977.00,977.00
2020-12-11,Google Ads,2839.00,2839.00,2839.00,5284.00,5284.00,5284.00,174.00,174.00,174.00,3105.00,3105.00,3105.00
2020-12-12,Facebook Ads,3633.00,3633.00,3633.00,9420.00,9420.00,9420.00,210.00,210.00,210.00,4183.00,4183.00,4183.00
2020-12-12,Google Ads,1693.00,1693.00,1693.00,9043.00,9043.00,9043.00,31.00,31.00,31.00,1500.00,1500.00,1500.00
2020-12-13,Facebook Ads,2503.00,2503.00,2503.00,8037.00,8037.00,8037.00,223.00,223.00,223.00,2872.00,2872.00,2872.00
2020-12-13,Google Ads,2284.00,2284.00,2284.00,5596.00,5596.00,5596.00,198.00,198.00,198.00,3301.00,3301.00,3301.00
2020-12-14,Facebook Ads,1598.00,1598.00,1598.00,11581.00,11581.00,11581.00,142.00,142.00,142.00,1589.00,1589.00,1589.00
2020-12-15,Facebook Ads,3150.00,3150.00,3150.00,9275.00,9275.00,9275.00,100.00,100.00,100.00,3690.00,3690.00,3690.00
2020-12-15,Google Ads,2069.00,2069.00,2069.00,1574.00,1574.00,1574.00,106.00,106.00,106.00,2874.00,2874.00,2874.00
2020-12-16,Facebook Ads,3203.00,3203.00,3203.00,9037.00,9037.00,9037.00,169.00,169.00,169.00,2456.00,2456.00,2456.00
2020-12-16,Google Ads,2226.00,2226.00,2226.00,1695.00,1695.00,1695.00,248.00,248.00,248.00,2653.00,2653.00,2653.00
2020-12-17,Facebook Ads,2739.00,2739.00,2739.00,11930.00,11930.00,11930.00,158.00,158.00,158.00,2754.00,2754.00,2754.00
2020-12-17,Google Ads,1002.00,1002.00,1002.00,1800.00,1800.00,1800.00,198.00,198.00,198.00,1065.00,1065.00,1065.00
2020-12-18,Facebook Ads,1116.00,1116.00,1116.00,11041.00,11041.00,11041.00,233.00,233.00,233.00,1528.00,1528.00,1528.00
2020-12-18,Google Ads,2355.00,2355.00,2355.00,8704.00,8704.00,8704.00,163.00,163.00,163.00,2744.00,2744.00,2744.00
2020-12-19,Facebook Ads,726.00,726.00,726.00,10078.00,10078.00,10078.00,340.00,340.00,340.00,1244.00,1244.00,1244.00
2020-12-19,Google Ads,884.00,884.00,884.00,11212.00,11212.00,11212.00,207.00,207.00,207.00,581.00,581.00,581.00
2020-12-20,Facebook Ads,1731.00,1731.00,1731.00,2370.00,2370.00,2370.00,277.00,277.00,277.00,1712.00,1712.00,1712.00
2020-12-20,Google Ads,3383.00,3383.00,3383.00,5482.00,5482.00,5482.00,319.00,319.00,319.00,3513.00,3513.00,3513.00
2020-12-21,Facebook Ads,2307.00,2307.00,2307.00,10143.00,10143.00,10143.00,223.00,223.00,223.00,3150.00,3150.00,3150.00
2020-12-21,Google Ads,3253.00,3253.00,3253.00,8603.00,8603.00,8603.00,106.00,106.00,106.00,2578.00,2578.00,2578.00
2020-12-22,Facebook Ads,2511.00,2511.00,2511.00,5155.00,5155.00,5155.00,314.00,314.00,314.00,2752.00,2752.00,2752.00
2020-12-22,Google Ads,1211.00,1211.00,1211.00,3317.00,3317.00,3317.00,234.00,234.00,234.00,1835.00,1835.00,1835.00
2020-12-23,Google Ads,548.00,548.00,548.00,5361.00,5361.00,5361.00,62.00,62.00,62.00,625.00,625.00,625.00
2020-12-24,Google Ads,1904.00,1904.00,1904.00,3597.00,3597.00,3597.00,143.00,143.00,143.00,2773.00,2773.00,2773.00
2020-12-25,Facebook Ads,1099.00,1099.00,1099.00,5520.00,5520.00,5520.00,6.00,6.00,6.00,1691.00,1691.00,1691.00
2020-12-25,Google Ads,2049.00,2049.00,2049.00,3884.00,3884.00,3884.00,57.00,57.00,57.00,3297.00,3297.00,3297.00
2020-12-26,Facebook Ads,264.00,4014.00,1444.50,3840.00,14034.00,7004.50,2.00,370.00,97.25,401.00,6140.00,2173.75
2020-12-26,Google Ads,420.00,1098.00,784.00,754.00,12062.00,6338.67,2.00,249.00,84.67,325.00,1327.00,921.33
2020-12-27,Facebook Ads,406.00,3422.00,1342.75,1683.00,17365.00,8258.75,0.00,514.00,136.00,431.00,5162.00,1907.75
2020-12-27,Google Ads,419.00,1358.00,961.67,3219.00,7601.00,5170.67,0.00,261.00,89.00,654.00,1723.00,1174.67
2020-12-28,Facebook Ads,1.00,1487.00,1056.25,18.00,27387.00,9636.50,0.00,80.00,22.50,1.00,2463.00,1533.50
2020-12-28,Google Ads,3.00,2461.00,1232.00,37.00,3791.00,1914.00,0.00,75.00,37.50,5.00,3204.00,1604.50
2020-12-29,Facebook Ads,321.00,3797.00,1712.33,634.00,12620.00,8452.33,0.00,154.00,54.00,280.00,4479.00,1864.67
2020-12-29,Google Ads,374.00,374.00,374.00,921.00,921.00,921.00,0.00,0.00,0.00,335.00,335.00,335.00
2020-12-30,Facebook Ads,95.00,1510.00,802.50,820.00,7030.00,3925.00,0.00,3.00,1.50,122.00,1818.00,970.00
2020-12-30,Google Ads,2772.00,2772.00,2772.00,8853.00,8853.00,8853.00,199.00,199.00,199.00,3923.00,3923.00,3923.00
2020-12-31,Facebook Ads,0.00,1287.00,643.50,0.00,3263.00,1631.50,0.00,1.00,0.50,0.00,1707.00,853.50
2020-12-31,Google Ads,1368.00,1368.00,1368.00,2690.00,2690.00,2690.00,3.00,3.00,3.00,1403.00,1403.00,1403.00
2021-01-01,Facebook Ads,0.00,39.00,19.50,0.00,353.00,176.50,0.00,0.00,0.00,0.00,59.00,29.50
2021-01-01,Google Ads,105.00,105.00,105.00,186.00,186.00,186.00,0.00,0.00,0.00,148.00,148.00,148.00
2021-01-02,Facebook Ads,774.00,774.00,774.00,10709.00,10709.00,10709.00,205.00,205.00,205.00,690.00,690.00,690.00
2021-01-02,Google Ads,1929.00,1929.00,1929.00,5175.00,5175.00,5175.00,531.00,531.00,531.00,1461.00,1461.00,1461.00
2021-01-03,Google Ads,4211.00,4211.00,4211.00,12160.00,12160.00,12160.00,785.00,785.00,785.00,5815.00,5815.00,5815.00
2021-01-04,Facebook Ads,7006.00,7006.00,7006.00,22440.00,22440.00,22440.00,1256.00,1256.00,1256.00,6847.00,6847.00,6847.00
2021-01-05,Facebook Ads,8115.00,8115.00,8115.00,60232.00,60232.00,60232.00,1379.00,1379.00,1379.00,6168.00,6168.00,6168.00
2021-01-06,Facebook Ads,7.00,14270.00,7138.50,121.00,65144.00,32632.50,0.00,431.00,215.50,7.00,14590.00,7298.50
2021-01-06,Google Ads,2.00,2.00,2.00,95.00,95.00,95.00,0.00,0.00,0.00,3.00,3.00,3.00
2021-01-07,Facebook Ads,305.00,11637.00,5971.00,2742.00,53143.00,27942.50,0.00,1480.00,740.00,474.00,17820.00,9147.00
2021-01-07,Google Ads,336.00,6750.00,3543.00,991.00,83285.00,42138.00,0.00,1526.00,763.00,507.00,6495.00,3501.00
2021-01-08,Facebook Ads,96.00,6101.00,3098.50,1064.00,32489.00,16776.50,2.00,2639.00,1320.50,139.00,8364.00,4251.50
2021-01-08,Google Ads,226.00,226.00,226.00,671.00,671.00,671.00,0.00,0.00,0.00,361.00,361.00,361.00
2021-01-09,Facebook Ads,5363.00,5363.00,5363.00,47079.00,47079.00,47079.00,708.00,708.00,708.00,4094.00,4094.00,4094.00
2021-01-10,Facebook Ads,1680.00,1680.00,1680.00,15045.00,15045.00,15045.00,679.00,679.00,679.00,1586.00,1586.00,1586.00
2021-01-10,Google Ads,2707.00,2707.00,2707.00,3683.00,3683.00,3683.00,765.00,765.00,765.00,4416.00,4416.00,4416.00
2021-01-11,Facebook Ads,2846.00,2846.00,2846.00,18584.00,18584.00,18584.00,650.00,650.00,650.00,3244.00,3244.00,3244.00
2021-01-12,Facebook Ads,359.00,13311.00,6835.00,1062.00,38693.00,19877.50,2.00,1656.00,829.00,381.00,21600.00,10990.50
2021-01-12,Google Ads,297.00,297.00,297.00,1015.00,1015.00,1015.00,4.00,4.00,4.00,473.00,473.00,473.00
2021-01-13,Facebook Ads,189.00,5097.00,2643.00,2693.00,28028.00,15360.50,1.00,1511.00,756.00,220.00,5221.00,2720.50
2021-01-13,Google Ads,282.00,10112.00,5197.00,2814.00,44611.00,23712.50,1.00,947.00,474.00,271.00,13833.00,7052.00
2021-01-14,Facebook Ads,72.00,72.00,72.00,1035.00,1035.00,1035.00,0.00,0.00,0.00,76.00,76.00,76.00
2021-01-14,Google Ads,3318.00,3318.00,3318.00,73978.00,73978.00,73978.00,261.00,261.00,261.00,3570.00,3570.00,3570.00
2021-01-15,Facebook Ads,234.00,7599.00,3916.50,3137.00,49150.00,26143.50,0.00,1180.00,590.00,365.00,13014.00,6689.50
2021-01-16,Facebook Ads,186.00,12635.00,6410.50,980.00,77416.00,39198.00,2.00,668.00,335.00,281.00,12104.00,6192.50
2021-01-16,Google Ads,50.00,3055.00,1552.50,2154.00,10579.00,6366.50,1.00,249.00,125.00,57.00,4486.00,2271.50
2021-01-17,Facebook Ads,3666.00,3666.00,3666.00,38189.00,38189.00,38189.00,903.00,903.00,903.00,5809.00,5809.00,5809.00
2021-01-17,Google Ads,41.00,7553.00,3797.00,728.00,14118.00,7423.00,0.00,377.00,188.50,55.00,11109.00,5582.00
2021-01-18,Facebook Ads,328.00,2735.00,1531.50,1597.00,27331.00,14464.00,0.00,124.00,62.00,360.00,2602.00,1481.00
2021-01-18,Google Ads,58.00,752.00,405.00,1475.00,17788.00,9631.50,0.00,227.00,113.50,50.00,677.00,363.50
2021-01-19,Facebook Ads,64.00,1120.00,592.00,211.00,6891.00,3551.00,0.00,186.00,93.00,102.00,1402.00,752.00
2021-01-19,Google Ads,21.00,21.00,21.00,291.00,291.00,291.00,0.00,0.00,0.00,20.00,20.00,20.00
2021-01-20,Facebook Ads,311.00,1594.00,952.50,1319.00,7279.00,4299.00,2.00,125.00,63.50,371.00,2648.00,1509.50
2021-01-20,Google Ads,142.00,1267.00,704.50,811.00,8527.00,4669.00,1.00,179.00,90.00,111.00,1414.00,762.50
2021-01-21,Facebook Ads,218.00,1548.00,883.00,1483.00,4956.00,3219.50,0.00,202.00,101.00,287.00,2510.00,1398.50
2021-01-21,Google Ads,1791.00,1791.00,1791.00,9879.00,9879.00,9879.00,69.00,69.00,69.00,1522.00,1522.00,1522.00
2021-01-22,Facebook Ads,136.00,2078.00,1107.00,3088.00,5850.00,4469.00,0.00,220.00,110.00,215.00,3386.00,1800.50
2021-01-22,Google Ads,58.00,1755.00,906.50,684.00,1661.00,1172.50,0.00,199.00,99.50,45.00,1415.00,730.00
2021-01-23,Facebook Ads,711.00,711.00,711.00,12488.00,12488.00,12488.00,176.00,176.00,176.00,710.00,710.00,710.00
2021-01-23,Google Ads,235.00,235.00,235.00,541.00,541.00,541.00,0.00,0.00,0.00,176.00,176.00,176.00
2021-01-24,Facebook Ads,8.00,2177.00,1092.50,113.00,9548.00,4830.50,0.00,178.00,89.00,13.00,2323.00,1168.00
2021-01-24,Google Ads,21.00,2295.00,1158.00,126.00,2122.00,1124.00,0.00,173.00,86.50,19.00,2930.00,1474.50
2021-01-25,Facebook Ads,1413.00,1413.00,1413.00,7923.00,7923.00,7923.00,180.00,180.00,180.00,2405.00,2405.00,2405.00
2021-01-25,Google Ads,1278.00,1278.00,1278.00,1398.00,1398.00,1398.00,222.00,222.00,222.00,1449.00,1449.00,1449.00
2021-01-26,Facebook Ads,144.00,1843.00,993.50,6151.00,8760.00,7455.50,3.00,98.00,50.50,136.00,1534.00,835.00
2021-01-27,Facebook Ads,168.00,1878.00,866.33,1722.00,7306.00,4636.00,1.00,116.00,41.33,210.00,1956.00,924.67
2021-01-28,Facebook Ads,109.00,2736.00,1422.50,2361.00,11447.00,6904.00,3.00,113.00,58.00,110.00,2850.00,1480.00
2021-01-28,Google Ads,394.00,394.00,394.00,7294.00,7294.00,7294.00,103.00,103.00,103.00,484.00,484.00,484.00
2021-01-29,Facebook Ads,996.00,996.00,996.00,8466.00,8466.00,8466.00,144.00,144.00,144.00,1282.00,1282.00,1282.00
2021-01-30,Google Ads,2077.00,2077.00,2077.00,3945.00,3945.00,3945.00,96.00,96.00,96.00,3310.00,3310.00,3310.00
2021-01-31,Facebook Ads,1278.00,1278.00,1278.00,6206.00,6206.00,6206.00,95.00,95.00,95.00,1261.00,1261.00,1261.00
2021-01-31,Google Ads,1269.00,1269.00,1269.00,4975.00,4975.00,4975.00,56.00,56.00,56.00,1379.00,1379.00,1379.00
2021-02-01,Facebook Ads,2800.00,2800.00,2800.00,10775.00,10775.00,10775.00,130.00,130.00,130.00,2627.00,2627.00,2627.00
2021-02-01,Google Ads,2096.00,2096.00,2096.00,5491.00,5491.00,5491.00,42.00,42.00,42.00,2608.00,2608.00,2608.00
2021-02-02,Facebook Ads,2869.00,2869.00,2869.00,1813.00,1813.00,1813.00,97.00,97.00,97.00,3825.00,3825.00,3825.00
2021-02-02,Google Ads,829.00,829.00,829.00,2051.00,2051.00,2051.00,99.00,99.00,99.00,1129.00,1129.00,1129.00
2021-02-03,Facebook Ads,735.00,735.00,735.00,1308.00,1308.00,1308.00,107.00,107.00,107.00,1155.00,1155.00,1155.00
2021-02-03,Google Ads,817.00,817.00,817.00,3434.00,3434.00,3434.00,18.00,18.00,18.00,1049.00,1049.00,1049.00
2021-02-04,Facebook Ads,708.00,708.00,708.00,3016.00,3016.00,3016.00,48.00,48.00,48.00,947.00,947.00,947.00
2021-02-04,Google Ads,2156.00,2156.00,2156.00,10329.00,10329.00,10329.00,58.00,58.00,58.00,3050.00,3050.00,3050.00
2021-02-05,Facebook Ads,1075.00,1075.00,1075.00,1784.00,1784.00,1784.00,176.00,176.00,176.00,887.00,887.00,887.00
2021-02-05,Google Ads,1286.00,1286.00,1286.00,9265.00,9265.00,9265.00,183.00,183.00,183.00,1244.00,1244.00,1244.00
2021-02-06,Facebook Ads,1226.00,1226.00,1226.00,5852.00,5852.00,5852.00,242.00,242.00,242.00,1290.00,1290.00,1290.00
2021-02-06,Google Ads,1544.00,1544.00,1544.00,9120.00,9120.00,9120.00,60.00,60.00,60.00,1202.00,1202.00,1202.00
2021-02-07,Facebook Ads,789.00,789.00,789.00,3931.00,3931.00,3931.00,73.00,73.00,73.00,898.00,898.00,898.00
2021-02-08,Facebook Ads,596.00,596.00,596.00,4919.00,4919.00,4919.00,124.00,124.00,124.00,635.00,635.00,635.00
2021-02-08,Google Ads,516.00,516.00,516.00,6553.00,6553.00,6553.00,102.00,102.00,102.00,660.00,660.00,660.00
2021-02-09,Facebook Ads,585.00,585.00,585.00,6840.00,6840.00,6840.00,153.00,153.00,153.00,864.00,864.00,864.00
2021-02-09,Google Ads,2156.00,2156.00,2156.00,5955.00,5955.00,5955.00,39.00,39.00,39.00,2342.00,2342.00,2342.00
2021-02-10,Facebook Ads,2410.00,2410.00,2410.00,6428.00,6428.00,6428.00,110.00,110.00,110.00,3321.00,3321.00,3321.00
2021-02-10,Google Ads,1947.00,1947.00,1947.00,5405.00,5405.00,5405.00,109.00,109.00,109.00,2178.00,2178.00,2178.00
2021-02-11,Facebook Ads,1053.00,1053.00,1053.00,6239.00,6239.00,6239.00,66.00,66.00,66.00,1683.00,1683.00,1683.00
2021-02-12,Facebook Ads,1432.00,1432.00,1432.00,3761.00,3761.00,3761.00,110.00,110.00,110.00,2372.00,2372.00,2372.00
2021-02-12,Google Ads,1570.00,1570.00,1570.00,3492.00,3492.00,3492.00,21.00,21.00,21.00,1603.00,1603.00,1603.00
2021-02-13,Facebook Ads,2884.00,2884.00,2884.00,7366.00,7366.00,7366.00,54.00,54.00,54.00,3243.00,3243.00,3243.00
2021-02-13,Google Ads,799.00,799.00,799.00,4060.00,4060.00,4060.00,101.00,101.00,101.00,677.00,677.00,677.00
2021-02-14,Facebook Ads,2791.00,2791.00,2791.00,3591.00,3591.00,3591.00,40.00,40.00,40.00,3363.00,3363.00,3363.00
2021-02-14,Google Ads,1974.00,1974.00,1974.00,2776.00,2776.00,2776.00,126.00,126.00,126.00,3246.00,3246.00,3246.00
2021-02-15,Facebook Ads,2153.00,2153.00,2153.00,9526.00,9526.00,9526.00,117.00,117.00,117.00,2416.00,2416.00,2416.00
2021-02-15,Google Ads,1158.00,1158.00,1158.00,8654.00,8654.00,8654.00,59.00,59.00,59.00,1501.00,1501.00,1501.00
2021-02-16,Facebook Ads,2225.00,2225.00,2225.00,7960.00,7960.00,7960.00,47.00,47.00,47.00,3175.00,3175.00,3175.00
2021-02-17,Facebook Ads,639.00,639.00,639.00,9268.00,9268.00,9268.00,109.00,109.00,109.00,585.00,585.00,585.00
2021-02-17,Google Ads,1979.00,1979.00,1979.00,4594.00,4594.00,4594.00,127.00,127.00,127.00,2036.00,2036.00,2036.00
2021-02-18,Facebook Ads,1879.00,1879.00,1879.00,1704.00,1704.00,1704.00,158.00,158.00,158.00,2575.00,2575.00,2575.00
2021-02-18,Google Ads,2305.00,2305.00,2305.00,5823.00,5823.00,5823.00,90.00,90.00,90.00,2010.00,2010.00,2010.00
2021-02-19,Facebook Ads,82.00,2044.00,1063.00,12933.00,17157.00,15045.00,4.00,258.00,131.00,130.00,1841.00,985.50
2021-02-20,Facebook Ads,162.00,4631.00,2396.50,3653.00,16058.00,9855.50,6.00,244.00,125.00,222.00,5763.00,2992.50
2021-02-20,Google Ads,3562.00,3562.00,3562.00,9250.00,9250.00,9250.00,128.00,128.00,128.00,5614.00,5614.00,5614.00
2021-02-21,Facebook Ads,168.00,3835.00,2001.50,3775.00,6287.00,5031.00,8.00,445.00,226.50,142.00,6298.00,3220.00
2021-02-22,Facebook Ads,184.00,5427.00,2805.50,3679.00,13680.00,8679.50,0.00,420.00,210.00,169.00,7128.00,3648.50
2021-02-22,Google Ads,5231.00,5231.00,5231.00,11383.00,11383.00,11383.00,488.00,488.00,488.00,8090.00,8090.00,8090.00
2021-02-23,Facebook Ads,3319.00,3319.00,3319.00,12352.00,12352.00,12352.00,147.00,147.00,147.00,3434.00,3434.00,3434.00
2021-02-24,Facebook Ads,5620.00,5620.00,5620.00,14526.00,14526.00,14526.00,99.00,99.00,99.00,6609.00,6609.00,6609.00
2021-02-24,Google Ads,1948.00,1948.00,1948.00,8640.00,8640.00,8640.00,110.00,110.00,110.00,1332.00,1332.00,1332.00
2021-02-25,Facebook Ads,3190.00,3190.00,3190.00,3030.00,3030.00,3030.00,213.00,213.00,213.00,4706.00,4706.00,4706.00
2021-02-25,Google Ads,1479.00,1479.00,1479.00,9576.00,9576.00,9576.00,23.00,23.00,23.00,1710.00,1710.00,1710.00
2021-02-27,Facebook Ads,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-27,Google Ads,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-28,Facebook Ads,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-28,Google Ads,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-05,Facebook Ads,749.00,749.00,749.00,27963.00,27963.00,27963.00,5.00,5.00,5.00,1227.00,1227.00,1227.00
2021-03-06,Facebook Ads,1025.00,1025.00,1025.00,7098.00,7098.00,7098.00,6.00,6.00,6.00,1195.00,1195.00,1195.00
2021-03-07,Facebook Ads,649.00,649.00,649.00,7067.00,7067.00,7067.00,4.00,4.00,4.00,876.00,876.00,876.00
2021-03-09,Facebook Ads,510.00,510.00,510.00,10350.00,10350.00,10350.00,22.00,22.00,22.00,560.00,560.00,560.00
2021-03-10,Facebook Ads,702.00,702.00,702.00,7257.00,7257.00,7257.00,4.00,4.00,4.00,590.00,590.00,590.00
2021-03-11,Facebook Ads,920.00,920.00,920.00,25174.00,25174.00,25174.00,10.00,10.00,10.00,1219.00,1219.00,1219.00
2021-03-12,Facebook Ads,832.00,832.00,832.00,15034.00,15034.00,15034.00,1.00,1.00,1.00,872.00,872.00,872.00
2021-03-13,Facebook Ads,81.00,81.00,81.00,3616.00,3616.00,3616.00,0.00,0.00,0.00,138.00,138.00,138.00
2021-04-07,Facebook Ads,71.00,71.00,71.00,1355.00,1355.00,1355.00,3.00,3.00,3.00,104.00,104.00,104.00
2021-04-08,Facebook Ads,326.00,569.00,447.50,1039.00,3744.00,2391.50,6.00,10.00,8.00,298.00,911.00,604.50
2021-04-09,Facebook Ads,86.00,322.00,204.00,2117.00,4732.00,3424.50,0.00,3.00,1.50,127.00,473.00,300.00
